replicate,isolate,inoculum,tpos,conc,logconc
1,KPC_B,10000,8.46,0.1,-2
1,KPC_B,10000,8.33,0.25,-0.602059991
1,KPC_B,10000,8.33,0.5,-0.301029996
1,KPC_B,10000,8.5,1,0
1,KPC_B,10000,14,2,0.301029996
1,KPC_B,10000,24,4,0.602059991
2,KPC_B,10000,9,0.1,-2
2,KPC_B,10000,8.66,0.25,-0.602059991
2,KPC_B,10000,8.66,0.5,-0.301029996
2,KPC_B,10000,8.66,1,0
2,KPC_B,10000,14.17,2,0.301029996
2,KPC_B,10000,24,4,0.602059991
3,KPC_B,10000,9.58,0.1,-2
3,KPC_B,10000,9.48,0.25,-0.602059991
3,KPC_B,10000,9.5,0.5,-0.301029996
3,KPC_B,10000,10.5,1,0
3,KPC_B,10000,15.6,2,0.301029996
3,KPC_B,10000,24,4,0.602059991
4,KPC_B,10000,9.1,0.1,-2
4,KPC_B,10000,9.1,0.25,-0.602059991
4,KPC_B,10000,9.1,0.5,-0.301029996
4,KPC_B,10000,9.2,1,0
4,KPC_B,10000,14.5,2,0.301029996
4,KPC_B,10000,24,4,0.602059991
5,KPC_B,10000,9.1,0.1,-2
5,KPC_B,10000,9.1,0.25,-0.602059991
5,KPC_B,10000,9.1,0.5,-0.301029996
5,KPC_B,10000,9.1,1,0
5,KPC_B,10000,13.66,2,0.301029996
5,KPC_B,10000,24,4,0.602059991
1,KPC_NDM,10000,9.58,0.1,-2
1,KPC_NDM,10000,9.58,0.25,-0.602059991
1,KPC_NDM,10000,9.58,0.5,-0.301029996
1,KPC_NDM,10000,9.58,1,0
1,KPC_NDM,10000,9.58,2,0.301029996
1,KPC_NDM,10000,9.8,4,0.602059991
2,KPC_NDM,10000,9.58,0.1,-2
2,KPC_NDM,10000,9.58,0.25,-0.602059991
2,KPC_NDM,10000,9.58,0.5,-0.301029996
2,KPC_NDM,10000,9.2,1,0
2,KPC_NDM,10000,9.17,2,0.301029996
2,KPC_NDM,10000,9.66,4,0.602059991
3,KPC_NDM,10000,9.5,0.1,-2
3,KPC_NDM,10000,9.8,0.25,-0.602059991
3,KPC_NDM,10000,9.58,0.5,-0.301029996
3,KPC_NDM,10000,9.12,1,0
3,KPC_NDM,10000,9.17,2,0.301029996
3,KPC_NDM,10000,9.5,4,0.602059991
,,,,,
,,,,,
this has been graphed,,,,,