effect,d1,d2,
10,0,0,
13,0,40,
24,0,80,
24,0,160,
13,20,5,
13,20,10,
13,40,5,
13,40,10,
10,0,0,
11,0,20,
11.4,0,40,
18.6,80,20,
24,80,40,
10,0,0,
12.6,0,20,
12.9,0,40,
12.8,40,10,
13.8,80,10,
17.6,40,20,
24,80,20,
24,80,40,
9.4,0,0,
11,0,40,
24,0,80,
18,40,20,
10.8,0,0,
10.8,200,0,
16,400,0,
24,600,0,
24,800,0,
24,1000,0,
10.9,0,0,
10.9,200,0,
15,400,0,
24,600,0,
24,800,0,
9.5,0,0,
13,400,0,
24,600,0,
10,0,0,
13.5,400,0,
24,600,0,
10,0,0,
11.5,300,0,
13.4,400,0,
21,500,0,
24,600,0,
10,0,0,
11,200,0,
11.5,300,0,
14,400,0,
20,500,0,
24,600,0,
10,0,0,
11.8,300,0,
13.6,400,0,
21.5,500,0,
24,600,0,