diluent,replicate,isolates,inoculum,tpos,inoculum_adj
serum,2,KPC_ATCC,300000000,5.05,9375000
serum,2,KPC_ATCC,30000000,5.87,937500
serum,2,KPC_ATCC,3000000,6.87,93750
serum,2,KPC_ATCC,300000,7.03,9375
serum,2,KPC_ATCC,30000,7.7,937.5
serum,2,KPC_ATCC,3000,8.35,93.75
serum,2,KPC_ATCC,300,8.85,9.375
serum,2,KPC_ATCC,30,9.35,1
serum,4,KPC_ATCC,300000000,4.68,9375000
serum,4,KPC_ATCC,30000000,5.52,937500
serum,4,KPC_ATCC,3000000,6.35,93750
serum,4,KPC_ATCC,300000,7,9375
serum,4,KPC_ATCC,30000,,937.5
serum,4,KPC_ATCC,3000,,93.75
serum,4,KPC_ATCC,300,,9.375
serum,4,KPC_ATCC,30,,1
serum,2,KPC_ATCC,300000000,4.68,9375000
serum,2,KPC_ATCC,30000000,5.68,937500
serum,2,KPC_ATCC,3000000,6.68,93750
serum,2,KPC_ATCC,300000,7.17,9375
serum,2,KPC_ATCC,30000,,937.5
serum,2,KPC_ATCC,3000,,93.75
serum,2,KPC_ATCC,300,,9.375
serum,2,KPC_ATCC,30,,1
serum,1,KPC_ATCC,300000000,4.62,9375000
serum,1,KPC_ATCC,30000000,5.58,937500
serum,1,KPC_ATCC,3000000,6.45,93750
serum,1,KPC_ATCC,300000,7.1,9375
serum,1,KPC_ATCC,30000,8.28,937.5
serum,1,KPC_ATCC,3000,8.73,93.75
serum,1,KPC_ATCC,300,9.1,9.375
serum,1,KPC_ATCC,30,9.43,1
serum,3,KPC_ATCC,300000000,4.85,9375000
serum,3,KPC_ATCC,30000000,5.68,937500
serum,3,KPC_ATCC,3000000,6.33,93750
serum,3,KPC_ATCC,300000,7,9375
serum,3,KPC_ATCC,30000,,937.5
serum,3,KPC_ATCC,3000,,93.75
serum,3,KPC_ATCC,300,,9.375
serum,3,KPC_ATCC,30,,1
serum,2,KPC_ATCC,300000000,4.57,9375000
serum,2,KPC_ATCC,30000000,5.07,937500
serum,2,KPC_ATCC,3000000,6.23,93750
serum,2,KPC_ATCC,300000,6.72,9375
serum,2,KPC_ATCC,30000,,937.5
serum,2,KPC_ATCC,3000,,93.75
serum,2,KPC_ATCC,300,,9.375
serum,2,KPC_ATCC,30,,1
serum,2,KPC_ATCC,300000000,4.57,9375000
serum,2,KPC_ATCC,30000000,5.07,937500
serum,2,KPC_ATCC,3000000,6.4,93750
serum,2,KPC_ATCC,300000,6.72,9375
serum,2,KPC_ATCC,30000,,937.5
serum,2,KPC_ATCC,3000,,93.75
serum,2,KPC_ATCC,300,,9.375
serum,2,KPC_ATCC,30,,1
serum,2,KP_KPC_A,300000000,4.67,9375000
serum,2,KP_KPC_A,30000000,5.75,937500
serum,2,KP_KPC_A,3000000,6.75,93750
serum,2,KP_KPC_A,300000,7.8,9375
serum,2,KP_KPC_A,30000,8.75,937.5
serum,2,KP_KPC_A,3000,,93.75
serum,2,KP_KPC_A,300,,9.375
serum,2,KP_KPC_A,30,,1
serum,2,KP_KPC_B,300000000,4.67,9375000
serum,2,KP_KPC_B,30000000,5.5,937500
serum,2,KP_KPC_B,3000000,6.67,93750
serum,2,KP_KPC_B,300000,7.77,9375
serum,2,KP_KPC_B,30000,8.79,937.5
serum,2,KP_KPC_B,3000,,93.75
serum,2,KP_KPC_B,300,,9.375
serum,2,KP_KPC_B,30,,1
serum,2,KP_NDM,300000000,4.72,9375000
serum,2,KP_NDM,30000000,5.63,937500
serum,2,KP_NDM,3000000,7.02,93750
serum,2,KP_NDM,300000,7.98,9375
serum,2,KP_NDM,30000,8.73,937.5
serum,2,KP_NDM,3000,,93.75
serum,2,KP_NDM,300,,9.375
serum,2,KP_NDM,30,,1